"","No.","Time","Source","Destination","Protocol","Length","Info"
"149083",149083,409.32,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/140/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149084",149084,409.32,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/150/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149085",149085,409.32,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/160/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149086",149086,409.33,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/170/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149087",149087,409.34,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/180/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149088",149088,409.35,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/270/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149089",149089,409.36,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/280/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149090",149090,409.4,"192.168.202.76","157.56.52.25","TCP",70,"[TCP Retransmission] 52030 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149091",149091,409.51,"192.168.202.76","111.221.74.26","TCP",70,"52034 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149092",149092,409.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/290/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149093",149093,409.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/211/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149094",149094,409.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/212/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149095",149095,409.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/213/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149096",149096,409.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/214/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149097",149097,409.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/215/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149098",149098,409.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/216/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149099",149099,409.54,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/217/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149100",149100,409.54,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/218/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149101",149101,409.54,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/219/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149102",149102,409.54,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/220/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149103",149103,409.62,"192.168.202.76","111.221.77.147","TCP",66,"[TCP Retransmission] 52017 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149104",149104,409.62,"192.168.202.76","64.4.23.145","TCP",66,"[TCP Retransmission] 52018 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149105",149105,409.69,"192.168.202.89","10.7.136.63","TCP",66,"[TCP Retransmission] 2170 > 445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149106",149106,409.69,"192.168.202.89","10.7.136.63","TCP",66,"[TCP Retransmission] 2171 > 445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149107",149107,409.7,"192.168.202.89","10.7.136.63","TCP",66,"[TCP Retransmission] 2169 > 445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149108",149108,409.7,"192.168.202.89","10.7.136.63","TCP",66,"[TCP Retransmission] 2176 > 139 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149109",149109,409.99,"192.168.202.97","192.168.202.255","NBNS",96,"Name query NB ISATAP<00>"
"149110",149110,410,"192.168.228.1","224.0.0.10","EIGRP",78,"Hello"
"149111",149111,410.23,"192.168.202.76","157.56.52.14","TCP",66,"[TCP Retransmission] 52019 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149112",149112,410.23,"192.168.202.1","192.168.202.76","ICMP",74,"Destination unreachable (Host unreachable)"
"149113",149113,410.25,"192.168.202.89","128.59.23.177","TCP",66,"[TCP Retransmission] 2177 > 9001 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149114",149114,410.31,"192.168.202.1","224.0.0.10","EIGRP",78,"Hello"
"149115",149115,410.37,"192.168.217.1","224.0.0.10","EIGRP",78,"Hello"
"149116",149116,410.45,"192.168.202.76","65.55.223.28","TCP",70,"[TCP Retransmission] 52031 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149117",149117,410.49,"Cisco-Li_90:f2:11","Spanning-tree-(for-bridges)_00","STP",60,"RST. Root = 32768/0/00:18:f8:90:f1:e0  Cost = 0  Port = 0x8031"
"149118",149118,410.65,"192.168.202.76","111.221.77.155","TCP",66,"[TCP Retransmission] 52020 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149119",149119,410.74,"192.168.202.97","192.168.202.255","NBNS",96,"Name query NB ISATAP<00>"
"149120",149120,410.75,"192.168.212.1","224.0.0.10","EIGRP",78,"Hello"
"149121",149121,410.9,"192.168.202.76","111.221.74.26","TCP",70,"[TCP Retransmission] 52033 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149122",149122,410.9,"192.168.202.1","192.168.202.76","ICMP",74,"Destination unreachable (Host unreachable)"
"149123",149123,410.94,"192.168.215.1","224.0.0.10","EIGRP",78,"Hello"
"149124",149124,411.06,"192.168.202.76","192.168.202.255","NBNS",96,"Name query NB HPE8AA67<00>"
"149125",149125,411.11,"192.168.220.1","224.0.0.10","EIGRP",78,"Hello"
"149126",149126,411.2,"192.168.219.1","224.0.0.10","EIGRP",78,"Hello"
"149127",149127,411.23,"192.168.202.76","111.221.77.147","TCP",66,"[TCP Retransmission] 52021 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149128",149128,411.23,"192.168.202.76","64.4.23.145","TCP",66,"[TCP Retransmission] 52022 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149129",149129,411.3,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/110/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149130",149130,411.32,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/120/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149131",149131,411.32,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/130/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149132",149132,411.32,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/140/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149133",149133,411.32,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/150/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149134",149134,411.33,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/160/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149135",149135,411.33,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/170/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149136",149136,411.35,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/180/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149137",149137,411.36,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/270/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149138",149138,411.36,"192.168.216.1","224.0.0.10","EIGRP",78,"Hello"
"149139",149139,411.36,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/280/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149140",149140,411.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/290/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149141",149141,411.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/211/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149142",149142,411.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/212/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149143",149143,411.54,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/213/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149144",149144,411.54,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/214/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149145",149145,411.54,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/215/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149146",149146,411.54,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/216/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149147",149147,411.54,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/217/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149148",149148,411.54,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/218/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149149",149149,411.54,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/219/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149150",149150,411.54,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/220/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149151",149151,411.67,"192.168.201.1","224.0.0.10","EIGRP",78,"Hello"
"149152",149152,411.77,"192.168.202.97","192.168.202.255","BROWSER",247,"Local Master Announcement TIRANI, Workstation, Server, NT Workstation, Potential Browser, Master Browser"
"149153",149153,411.78,"192.168.203.1","224.0.0.10","EIGRP",78,"Hello"
"149154",149154,411.79,"192.168.202.97","192.168.202.255","NBNS",96,"Name query NB ISATAP<00>"
"149155",149155,411.82,"192.168.202.76","192.168.202.255","NBNS",96,"Name query NB HPE8AA67<00>"
"149156",149156,411.82,"192.168.205.1","224.0.0.10","EIGRP",78,"Hello"
"149157",149157,412.05,"192.168.227.1","224.0.0.10","EIGRP",78,"Hello"
"149158",149158,412.17,"192.168.202.76","157.56.52.25","TCP",66,"[TCP Retransmission] 52024 > 40009 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149159",149159,412.17,"192.168.202.1","192.168.202.76","ICMP",74,"Destination unreachable (Host unreachable)"
"149160",149160,412.21,"192.168.207.1","224.0.0.10","EIGRP",78,"Hello"
"149161",149161,412.29,"192.168.202.76","111.221.77.155","TCP",66,"[TCP Retransmission] 52025 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149162",149162,412.37,"Cisco-Li_90:f2:11","Spanning-tree-(for-bridges)_00","STP",60,"RST. Root = 32768/0/00:18:f8:90:f1:e0  Cost = 0  Port = 0x8031"
"149163",149163,412.52,"192.168.202.76","111.221.74.26","TCP",70,"[TCP Retransmission] 52034 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149164",149164,412.54,"192.168.202.97","192.168.202.255","NBNS",96,"Name query NB ISATAP<00>"
"149165",149165,412.59,"192.168.202.76","192.168.202.255","NBNS",96,"Name query NB HPE8AA67<00>"
"149166",149166,412.9,"192.168.229.1","224.0.0.10","EIGRP",78,"Hello"
"149167",149167,412.92,"192.168.1.254","239.255.255.250","SSDP",327,"NOTIFY * HTTP/1.1 "
"149168",149168,412.97,"192.168.1.254","239.255.255.250","SSDP",327,"NOTIFY * HTTP/1.1 "
"149169",149169,412.97,"192.168.1.254","239.255.255.250","SSDP",336,"NOTIFY * HTTP/1.1 "
"149170",149170,412.98,"192.168.1.254","239.255.255.250","SSDP",336,"NOTIFY * HTTP/1.1 "
"149171",149171,412.99,"192.168.1.254","239.255.255.250","SSDP",367,"NOTIFY * HTTP/1.1 "
"149172",149172,413,"192.168.1.254","239.255.255.250","SSDP",367,"NOTIFY * HTTP/1.1 "
"149173",149173,413.02,"192.168.202.89","192.168.202.255","UDP",86,"49156 > 1947 Len=40"
"149174",149174,413.2,"192.168.213.1","224.0.0.10","EIGRP",78,"Hello"
"149175",149175,413.21,"192.168.202.76","65.55.223.28","TCP",66,"[TCP Retransmission] 52026 > 40045 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149176",149176,413.21,"192.168.202.1","192.168.202.76","ICMP",74,"Destination unreachable (Host unreachable)"
"149177",149177,413.23,"WistronI_19:a5:d2","CiscoInc_9d:f2:c2","ARP",64,"Who has 192.168.202.1? Tell 192.168.202.89"
"149178",149178,413.23,"CiscoInc_9d:f2:c2","WistronI_19:a5:d2","ARP",64,"192.168.202.1 is at 00:16:47:9d:f2:c2"
"149179",149179,413.24,"192.168.204.1","224.0.0.10","EIGRP",78,"Hello"
"149180",149180,413.29,"192.168.202.97","192.168.202.255","NBNS",96,"Name query NB ISATAP<00>"
"149181",149181,413.31,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/110/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
